,0
484,1481.0
485,1500.0
486,1525.0
487,1508.0
488,1524.0
489,1518.0
490,1522.0
491,1488.0
492,1506.0
493,1499.0
494,1517.0
495,1505.0
496,1471.0
497,1503.0
498,1526.0
499,1509.0
500,1533.0
501,1510.0
502,1507.0
503,1517.0
504,1523.0
505,1531.0
506,1507.0
507,1520.0
508,1517.0
509,1488.0
510,1507.0
511,1514.0
512,1467.0
513,1519.0
514,1524.0
515,1518.0
516,1521.0
517,1506.0
518,1524.0
519,1504.0
520,1507.0
521,1506.0
522,1504.0
523,1519.0
524,1465.0
525,1512.0
526,1512.0
527,1527.0
528,1463.0
529,1510.0
530,1527.0
531,1525.0
532,1517.0
533,1521.0
534,1506.0
535,1507.0
536,1516.0
537,1505.0
538,1514.0
539,1516.0
540,1502.0
541,1515.0
542,1523.0
543,1503.0
544,1498.0
545,1515.0
546,1504.0
547,1518.0
548,1514.0
549,1525.0
550,1518.0
551,1514.0
552,1504.0
553,1519.0
554,1499.0
555,1513.0
556,1510.0
557,1528.0
558,1521.0
559,1512.0
560,1488.0
561,1514.0
562,1534.0
563,1518.0
564,1524.0
565,1489.0
566,1515.0
567,1527.0
568,1516.0
569,1503.0
570,1511.0
571,1527.0
572,1516.0
573,1524.0
574,1499.0
575,1532.0
576,1416.0
577,1506.0
578,1507.0
579,1513.0
580,1519.0
581,1524.0
582,1490.0
583,1504.0
584,1512.0
585,1497.0
586,1519.0
587,1477.0
588,1517.0
589,1484.0
590,1505.0
591,1510.0
592,1509.0
593,1513.0
594,1512.0
595,1520.0
596,1493.0
597,1518.0
598,1516.0
599,1451.0
600,1520.0
601,1506.0
602,1515.0
603,1499.0
604,1522.0
605,1514.0
606,1492.0
607,1502.0
608,1508.0
609,1517.0
610,1511.0
611,1527.0
612,1528.0
613,1515.0
614,1514.0
615,1502.0
616,1502.0
617,1528.0
618,1526.0
619,1524.0
620,1529.0
621,1510.0
622,1501.0
623,1484.0
624,1518.0
625,1518.0
626,1524.0
627,1527.0
628,1498.0
629,1487.0
630,1505.0
631,1497.0
632,1502.0
633,1511.0
634,1486.0
635,1492.0
636,1513.0
637,1528.0
638,1491.0
639,1510.0
640,1520.0
641,1533.0
642,1510.0
643,1502.0
644,1512.0
645,1506.0
646,1507.0
647,1503.0
648,1509.0
649,1525.0
650,1480.0
651,1498.0
652,1515.0
653,1488.0
654,1506.0
655,1516.0
656,1523.0
657,1494.0
658,1403.0
659,1505.0
660,1518.0
661,1517.0
662,1525.0
663,1518.0
664,1516.0
665,1481.0
666,1518.0
667,1506.0
668,1529.0
669,1512.0
670,1514.0
671,1494.0
672,1511.0
673,1517.0
